,Final MSE,Best MSE,Mean MSE,Std MSE
Random,0.00016561318330122075,2.5161206269246043e-05,0.00011574932596595195,8.157079489585361e-05
Tight_Center,0.00022390547016220335,0.00011824566648719676,0.0003293570356982609,0.00014363420237580049
Wide_Spread,0.00023802366615193266,0.00020275388034863437,0.00026608896779580806,4.419666131385888e-05
Near_Origin,2.2665101040327032e-05,1.261746964919475e-05,0.00027356664274456974,0.0004848708016718894
Corners,1.8095283953715768e-06,1.7223143691455871e-06,1.4637793343978265e-05,2.4972908895951697e-05
Grid,1.9845143465831504e-05,1.3163073063325458e-05,5.5829108566916366e-05,3.4894035506574347e-05
